, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
155, I, I, I, G, K
156, H, I, J, K, I
157, J, I, K, K, G
158, K, H, K, H, G
159, H, I, I, I, K
160, H, I, I, K, J
161, H, I, H, H, I
162, G, H, K, K, G
163, I, I, G, I, J
164, G, I, H, K, G
165, H, I, I, I, I
166, H, I, J, K, K
167, K, I, I, G, K
168, K, I, I, K, J
169, H, I, H, K, G
170, K, H, H, I, G
171, H, H, I, I, J
172, H, H, I, I, G
173, G, I, K, I, G
174, J, I, J, K, G
175, H, I, J, J, G
176, I, H, K, I, I
177, H, I, I, G, G
178, J, I, G, K, I
179, H, I, I, K, H
180, K, I, J, K, G
181, H, H, I, K, K
182, K, I, I, G, G
183, H, H, G, H, H
184, H, I, J, J, K
185, H, I, J, J, J
186, G, H, J, G, H
187, H, I, I, H, G
188, J, I, G, K, J
189, J, H, G, I, G
190, J, I, J, K, G
191, K, I, J, K, J
192, K, I, I, K, G
193, H, I, H, G, G
194, I, I, G, K, H
195, H, I, J, K, G
196, K, I, H, J, H
197, K, I, H, K, G
198, I, I, K, I, I
199, I, H, J, H, G
200, J, H, H, I, H
201, J, H, J, K, I
202, K, I, J, H, G
203, I, I, J, I, G
204, J, H, J, K, G
205, I, I, I, H, K
206, K, I, G, I, K
207, K, H, J, G, H
208, J, I, J, K, J
209, H, I, I, K, J
210, I, I, J, K, J
211, H, I, G, I, H
212, I, I, J, G, G
213, K, I, J, G, G
214, K, I, I, K, G
215, G, I, G, I, G
216, G, I, J, K, G
217, G, I, G, K, H
218, G, I, H, K, G
219, H, H, H, K, G
220, H, H, H, G, I
221, K, H, I, K, G
222, K, I, J, I, G
223, I, I, J, K, K
224, G, I, G, G, H
225, I, I, G, J, G
226, G, I, J, K, H
227, H, I, J, G, H
228, H, I, K, I, J
229, H, H, H, K, H
230, K, H, G, K, I
231, G, H, J, K, I
232, H, I, K, K, I
233, I, H, I, K, K
234, J, H, H, K, G
235, H, I, I, K, K
236, H, H, I, K, I
237, G, I, J, I, G
238, G, I, K, H, H
239, J, I, H, K, I
240, G, H, J, J, G
241, H, I, K, G, I
242, K, I, G, J, I
243, H, H, J, G, K
244, H, I, K, K, K
245, H, H, I, H, I
246, H, H, I, G, K
247, I, I, J, K, I
248, H, I, G, I, G
249, H, I, J, K, G
250, H, I, J, J, K
251, H, H, G, I, G
252, J, I, J, K, K
253, H, I, I, G, J
254, I, I, G, H, G
255, H, I, J, J, G
256, H, I, J, K, H
257, J, I, H, K, I
258, I, I, H, J, G
259, H, I, J, K, K
260, K, I, G, J, H
261, I, H, I, K, J
262, H, H, J, K, J
263, G, I, I, K, J
264, K, I, I, J, K
265, I, H, K, H, I
266, G, I, J, G, G
267, G, H, H, G, K
268, K, I, H, G, I
269, G, H, I, I, H
270, K, I, I, I, G
271, H, I, I, J, H
272, H, I, J, J, K
273, G, H, K, J, K
274, K, I, J, K, G
275, H, H, K, H, K
276, G, I, J, G, G
277, J, I, H, H, I
278, K, I, I, I, H
279, H, I, K, G, I
280, H, H, J, I, I
281, I, I, G, K, I
282, I, I, H, I, J
283, G, H, J, I, I
284, H, I, G, G, G
285, K, I, K, K, G
286, I, H, G, I, K
287, K, H, I, H, H
288, I, I, H, I, I
289, H, I, K, K, I
290, J, H, I, K, H
291, K, I, J, H, H
292, H, H, J, K, G
293, J, I, H, K, G
294, K, I, J, I, J
295, K, I, G, K, G
296, I, I, J, H, H
297, G, I, K, K, J
298, I, I, J, I, H
299, I, I, I, H, K
300, J, I, J, K, G
301, H, I, H, J, H
302, I, I, J, J, H
303, I, I, H, K, J
304, J, I, H, J, G
305, J, I, J, J, K
306, G, H, J, G, G
307, G, H, G, K, G
308, G, I, J, K, G
309, G, H, J, K, H
310, G, H, I, G, J
311, G, H, H, K, K
312, J, H, K, H, G
313, H, H, H, G, K
314, G, I, K, K, K
315, H, I, I, K, G
316, H, H, I, K, H
317, H, H, J, H, G
318, H, I, J, I, G
319, G, I, K, I, K
320, G, I, G, I, H
321, I, H, K, H, H
322, I, H, J, K, J
323, H, I, J, H, H
324, I, I, J, H, H
325, H, H, J, J, I
326, K, I, K, K, J
327, H, H, I, G, G
328, I, I, H, K, H
329, I, I, J, G, H
330, H, H, J, G, H
331, J, H, J, G, G
332, J, I, H, J, G
333, J, I, G, K, I
334, G, H, G, K, I
335, H, H, J, I, J
336, K, H, K, G, G
337, J, H, G, I, G
338, K, H, K, G, G
339, J, I, H, G, I
340, I, I, K, K, H
341, H, I, H, G, G
342, G, H, J, G, G
343, H, I, J, G, G
344, K, H, I, H, H
345, K, H, I, H, J
346, H, I, K, I, J
347, H, H, J, I, K
348, G, I, I, K, J
349, G, I, J, I, H
350, J, H, H, K, I
351, G, I, J, K, J
352, H, I, J, I, K
353, I, I, J, K, G
354, H, I, H, G, H
355, H, I, I, H, I
356, K, I, J, G, G
357, G, H, G, J, K
358, H, I, J, G, G
359, J, I, H, H, G
360, H, I, I, K, G
361, J, I, I, G, J
362, H, H, H, H, G
363, G, H, J, G, J
364, H, H, I, K, K
365, K, I, J, I, G
366, H, I, J, K, K
367, H, H, K, K, J
368, K, I, H, I, J
369, H, I, I, J, I
370, I, H, I, G, G
371, J, I, J, K, G
372, J, H, J, H, K
373, H, I, H, K, H
374, G, H, G, K, I
375, H, I, I, K, H
376, H, I, K, J, G
377, I, H, J, K, H
378, J, I, J, G, K
379, H, H, J, G, K
380, H, I, G, G, G
381, H, I, K, H, G
382, K, I, H, J, G
383, J, H, K, J, H
384, H, I, H, K, K
385, I, I, K, K, G
386, H, I, J, H, G
387, G, H, J, K, J
388, G, I, K, H, G
389, K, H, K, J, K
390, K, I, K, H, H
391, H, I, I, K, G
392, G, H, J, K, G
393, H, I, G, K, I
394, H, I, J, K, G
395, G, H, J, H, G
396, J, I, J, K, K
397, K, H, I, G, J
398, H, I, J, I, G
399, H, H, G, G, H
400, I, H, I, I, K
401, K, I, H, J, H
402, J, I, G, G, G
403, K, H, K, I, J
404, I, I, H, K, G
405, G, H, J, K, G
406, H, H, G, I, H
407, J, I, J, K, G
408, H, I, I, I, K
409, J, I, G, I, J
410, G, I, I, J, H
411, I, H, J, K, K
412, H, I, G, G, J
413, G, I, H, H, K
414, K, I, G, G, H
415, G, I, K, K, G
416, I, I, G, H, I
417, H, H, H, K, H
418, K, I, G, H, G
419, J, H, G, I, H
420, I, I, K, H, I
421, H, I, J, J, I
422, J, H, J, I, I
423, I, I, G, K, I
424, J, H, J, J, K
425, J, H, I, H, J
426, H, I, I, H, K
427, H, I, J, J, J
428, I, I, K, I, J
429, I, I, J, K, I
430, I, I, J, G, K
431, I, I, J, K, H
432, H, I, K, J, J
433, H, I, G, K, K
434, H, I, H, I, G
435, I, I, G, K, K
436, H, H, J, K, J
437, G, I, H, G, H
438, J, I, I, I, K
439, J, I, I, G, G
440, H, H, I, K, G
441, J, H, J, H, K
442, I, I, G, K, G
443, H, I, H, K, J
444, H, H, J, K, J
445, H, H, H, J, I
446, G, I, H, H, G
447, G, I, I, H, J
448, H, H, J, K, K
449, H, H, J, I, G
450, H, H, J, J, I
451, I, I, J, K, G
452, I, H, J, I, K
453, H, I, H, I, H
454, H, I, G, J, G
455, K, H, K, H, G
456, H, I, G, K, H
457, G, I, I, G, H
458, H, I, K, G, K
459, H, H, H, I, K
460, K, I, J, H, J
461, I, H, J, I, G
462, I, I, I, K, J
463, J, I, H, H, J
464, H, I, J, I, J
465, H, I, K, K, G
466, H, H, J, H, K
467, H, I, J, I, J
468, H, I, H, K, I
469, I, H, K, K, G
470, G, I, K, K, K
471, I, I, J, J, G
472, H, H, I, K, G
473, J, H, H, G, J
474, H, I, K, G, J
475, I, H, J, G, J
476, J, H, G, J, H
477, J, H, I, K, G
478, K, H, H, K, I
479, I, I, G, G, J
480, H, I, I, J, I
481, J, H, J, G, I
482, G, H, I, I, I
483, H, I, I, J, K
484, J, H, J, K, G
485, H, I, H, H, I
486, I, H, G, K, G
487, G, I, H, K, J
488, I, I, J, H, K
489, K, I, J, I, G
490, K, H, H, K, J
491, I, H, K, J, K
492, H, I, G, J, K
493, J, I, K, J, G
494, H, I, K, K, K
495, J, I, H, H, I
496, G, I, G, J, K
497, H, I, G, G, H
498, H, I, J, I, J
499, J, I, J, H, K
500, G, H, J, K, I
501, I, I, J, K, G
502, K, I, J, J, J
503, I, I, J, G, G
504, H, I, K, I, K
505, J, H, G, J, G
506, H, I, I, I, I
507, I, I, K, J, H
508, I, H, J, K, H
509, H, I, K, K, G
510, J, I, J, I, I
511, I, H, J, J, H
512, G, I, J, K, K
513, G, I, G, I, K
514, I, I, J, G, J
515, G, H, H, G, I
516, H, I, G, K, I
517, K, I, K, J, G
518, K, I, J, K, H
519, K, I, J, G, I
520, G, I, H, K, K
521, J, I, J, G, I
522, H, H, H, K, J
523, H, I, J, G, I
524, I, H, K, H, H
525, J, I, K, K, I
526, J, H, J, K, G
527, H, H, J, K, G
528, I, I, I, J, G
529, I, H, I, I, G
530, K, H, K, I, G
531, G, I, K, K, K
532, H, I, J, K, K
533, G, I, K, K, J
534, K, I, I, H, G
535, J, H, J, K, K
536, K, I, G, J, G
537, J, I, G, K, J
538, K, I, G, H, K
539, I, H, I, H, J
540, I, I, K, H, G
541, J, I, G, J, H
542, H, I, K, I, J
543, G, I, J, H, G
544, G, H, G, J, K
545, H, H, J, I, K
546, K, I, H, H, I
547, K, I, J, J, I
548, J, I, J, G, G
549, J, I, J, J, G
550, H, I, K, J, H
551, G, I, J, H, G
552, I, I, J, G, G
553, K, I, K, J, G
554, H, H, J, G, H
555, H, I, H, H, G
556, J, I, K, K, H
557, I, I, J, I, K
558, I, I, H, G, H
559, G, H, G, K, G
560, H, I, G, K, K
561, H, I, H, J, H
562, J, I, K, G, J
563, J, H, G, J, J
564, H, I, J, G, I
565, K, I, I, H, J
566, G, I, J, K, H
567, K, I, H, I, H
568, J, I, J, I, I
569, H, I, J, K, J
570, G, H, J, J, G
571, H, I, J, I, H
572, K, I, I, K, G
573, G, I, K, I, J
574, H, I, K, I, H
575, G, H, J, J, H
576, G, H, H, G, I
577, J, H, J, K, G
578, K, H, I, K, G
579, H, I, I, H, G
580, J, H, J, H, K
581, I, I, K, H, J
582, H, I, K, I, H
583, K, H, K, H, K
584, G, I, J, H, H
585, J, I, G, K, H
586, H, H, H, G, I
587, J, I, I, K, H
588, K, H, I, K, G
589, K, H, J, K, G
590, H, I, I, I, J
591, I, I, H, K, I
592, G, I, J, G, G
593, I, H, I, H, G
594, H, I, J, G, G
595, H, H, H, J, G
596, G, I, J, I, I
597, J, H, H, G, G
598, K, I, K, H, G
599, K, I, J, K, K
600, H, H, I, I, J
601, H, I, I, H, G
602, K, I, K, G, G
603, I, I, J, J, J
604, I, I, J, I, K
605, J, H, I, K, G
606, G, I, G, I, H
607, I, I, G, K, G
608, K, I, I, H, I
609, J, H, I, G, I
610, H, I, J, H, G
611, J, H, I, J, H
612, I, I, J, I, G
613, G, H, I, K, G
614, I, I, H, K, K
615, H, I, I, K, G
616, H, I, J, G, I
617, H, I, H, H, K
618, G, I, K, K, K
619, J, I, J, I, I
620, H, H, G, K, H
621, I, I, K, K, K
622, G, I, I, I, J
623, H, I, H, I, J
624, K, I, G, J, H
625, J, H, H, J, J
626, K, H, J, I, G
627, K, I, J, K, G
628, H, I, J, G, G
629, H, H, I, J, K
630, H, I, G, K, G
631, K, H, J, K, J
632, G, I, K, G, J
633, G, H, I, K, J
634, J, I, K, K, J
635, J, I, H, K, G
636, H, H, H, J, J
637, K, I, K, G, K
638, H, I, G, I, J
639, K, I, H, J, J
640, I, H, I, H, J
641, I, I, J, H, J
642, K, I, J, K, G
643, H, H, J, G, H
644, J, I, J, J, G
645, K, I, J, K, G
646, G, I, K, G, I
647, H, H, K, H, K
648, H, I, H, K, G
649, G, I, H, G, H
650, G, I, J, K, K
651, I, I, I, G, I
652, H, H, I, G, H
653, H, H, H, K, I
654, J, H, I, H, H
655, J, H, G, H, J
656, K, I, I, I, J
657, G, H, K, J, G
658, J, I, J, I, K
659, J, I, H, J, I
660, G, I, H, K, G
661, K, I, H, K, K
662, H, H, H, G, G
663, I, I, K, G, G
664, H, I, I, K, G
665, H, I, H, J, J
666, K, I, I, H, G
667, J, I, K, G, G
668, J, I, H, H, G
669, H, I, I, J, G
670, H, I, J, I, G
671, H, H, H, K, J
672, H, I, J, H, K
673, I, I, J, J, H
674, G, I, J, H, J
675, H, H, I, K, K
676, K, I, K, K, G
677, J, I, J, G, I
678, K, H, J, K, I
679, H, H, I, G, H
680, H, I, J, G, J
681, H, I, K, J, K
682, G, I, I, I, I
683, H, I, K, I, G
684, H, H, K, H, G
685, H, I, H, H, H
686, J, I, I, K, I
687, G, I, G, I, J
688, G, I, H, J, I
689, K, I, J, K, I
690, G, I, I, K, G
691, H, H, K, G, K
692, I, I, K, K, H
693, H, I, K, H, H
694, I, H, G, I, G
695, I, I, K, H, I
696, I, H, K, K, I
697, K, I, J, K, H
698, H, H, H, K, J
699, J, I, I, G, H
700, J, I, G, G, G
701, H, I, I, K, H
702, H, H, J, K, I
703, H, I, J, H, I
704, I, I, I, I, K
705, K, I, K, K, K
706, K, H, K, J, G
707, K, I, I, K, I
708, K, I, J, G, J
709, J, I, G, J, G
710, G, H, H, K, J
711, I, I, K, H, J
712, H, I, H, K, I
713, K, I, K, J, J
714, J, H, H, G, K
715, G, H, J, K, I
716, J, H, J, H, J
717, H, H, G, K, H
718, I, I, G, H, K
719, K, H, K, G, H
720, J, I, H, G, H
721, H, I, G, K, H
722, H, I, J, K, J
723, H, I, J, K, I
724, H, I, J, I, G
725, J, H, J, H, K
726, J, I, G, G, K
727, G, I, J, K, I
728, I, I, J, K, K
729, J, I, K, H, I
730, K, I, J, K, G
731, G, I, J, J, I
732, I, I, K, G, G
733, I, I, K, G, G
734, H, H, J, K, G
735, K, I, I, K, H
736, K, H, I, I, H
737, H, H, K, K, H
738, G, I, G, J, K
739, I, I, J, J, G
740, G, I, G, K, H
741, K, I, K, K, I
742, H, H, I, I, J
743, G, I, H, I, J
744, I, H, G, G, K
745, I, I, G, I, G
746, K, I, J, G, K
747, G, I, J, K, G
748, H, I, G, I, I
749, K, I, K, H, G
750, G, H, K, K, G
751, K, I, J, K, K
752, I, H, J, H, J
753, G, I, G, K, J
754, H, I, K, K, J
755, G, I, K, I, G
756, I, I, G, G, K
757, J, I, I, J, I
758, J, H, I, K, H
759, K, I, K, J, I
760, J, I, I, H, G
761, H, H, I, H, G
762, H, I, I, I, G
763, I, I, I, H, G
764, G, H, J, K, I
765, H, I, H, H, I
766, J, I, H, G, K
767, I, H, H, J, J
768, J, I, G, G, G
769, K, H, H, K, G
770, I, I, K, G, I
771, H, I, K, G, G
772, I, I, I, J, G
773, H, H, J, I, K
774, I, I, J, K, K
775, H, H, I, I, G
776, H, I, J, K, G
777, H, H, K, I, G
778, G, I, J, J, K
779, K, I, K, G, I
780, H, I, G, G, H
781, H, H, J, I, K
782, G, I, G, K, J
783, G, I, G, I, G
784, K, I, J, G, I
785, I, I, I, G, K
786, J, I, G, I, I
787, G, I, H, K, G
788, K, I, H, H, J
789, K, I, I, K, G
790, J, I, K, K, I
791, K, H, J, J, K
792, G, H, G, G, I
793, H, I, J, J, H
794, K, I, G, K, J
795, J, I, I, K, I
796, G, I, J, K, G
797, J, I, J, G, G
798, J, I, H, K, G
799, K, I, I, I, G
800, I, I, I, K, K
801, H, H, H, G, I
802, K, I, J, I, K
803, I, I, G, G, K
804, H, I, J, H, H
805, G, I, G, H, I
806, H, I, J, H, H
807, I, I, H, I, H
808, K, H, K, H, I
809, G, I, J, K, G
810, H, I, H, I, G
811, I, I, J, K, G
812, J, I, K, G, G
813, J, I, J, J, G
814, H, I, J, H, G
815, G, I, H, K, I
816, G, H, I, I, J
817, H, I, I, G, I
818, K, I, J, I, H
819, I, H, G, K, J
820, G, I, G, J, H
821, K, I, K, J, G
822, I, H, J, K, K
823, H, H, J, K, J
824, I, H, G, G, G
825, K, I, J, K, G
826, H, H, I, K, K
827, G, I, I, K, H
828, J, H, G, K, J
829, G, I, J, H, I
830, H, I, G, H, J
831, I, H, G, K, G
832, K, I, H, I, G
833, G, H, J, H, G
834, G, H, I, H, K
835, G, I, K, J, K
836, H, H, I, K, G
837, K, I, K, H, I
838, H, I, J, K, J
839, H, I, I, K, I
840, K, H, H, K, G
841, G, H, H, G, K
842, H, H, J, I, K
843, K, I, K, I, G
844, H, I, J, H, J
845, G, I, H, I, I
846, J, H, G, G, I
847, K, H, H, J, I
848, H, I, H, I, H
849, I, H, I, K, I
850, H, I, K, H, K
851, G, I, J, K, I
852, J, I, G, J, G
853, I, I, K, I, I
854, J, H, G, G, I
855, H, I, I, I, G
856, H, I, H, K, H
857, G, H, J, G, I
858, H, H, K, K, G
859, H, I, J, G, G
860, I, I, K, G, I
861, K, I, J, K, J
862, H, H, G, K, H
863, K, I, K, J, G
864, H, H, J, I, H
865, K, I, K, K, K
866, H, I, J, K, G
867, K, I, G, K, K
868, I, I, J, K, K
869, H, I, G, K, K
870, J, I, J, I, G
871, H, I, J, J, H
872, I, I, K, K, I
873, I, H, J, I, H
874, G, I, G, K, K
875, I, H, I, H, G
876, K, H, J, G, H
877, H, I, J, G, H
878, I, I, J, I, G
879, H, I, K, H, G
880, H, I, H, G, G
881, I, I, G, H, K
882, G, I, J, K, K
883, G, H, J, H, H
884, G, I, J, K, I
885, K, H, H, J, G
886, J, I, J, K, K
887, H, H, H, K, I
888, I, H, J, G, G
889, I, I, J, J, I
890, G, H, J, I, J
891, J, H, G, J, H
892, K, H, K, H, G
893, H, H, G, I, H
894, H, I, G, H, I
895, I, I, J, H, J
896, H, I, G, J, H
897, I, H, J, K, K
898, G, I, H, H, K
899, I, H, I, I, G
900, J, H, J, K, G
901, I, H, J, K, K
902, H, I, J, H, J
903, K, H, H, J, H
904, K, I, K, I, I
905, G, I, K, I, I
906, G, I, G, K, G
907, H, I, G, K, I
908, H, I, I, K, I
909, H, I, G, I, G
910, J, H, H, K, G
911, K, H, I, K, J
912, I, I, I, K, G
913, K, I, J, K, J
914, K, H, J, G, H
915, G, I, K, J, K
916, I, I, G, H, K
917, I, I, H, I, G
918, K, H, J, K, G
919, G, I, G, K, I
920, H, H, J, K, I
921, K, I, I, J, G
922, I, I, G, J, I
923, H, I, H, I, G
924, G, H, H, I, G
925, J, I, H, J, H
926, H, I, J, K, I
927, H, I, G, H, K
928, G, I, J, G, I
929, G, I, G, J, J
930, K, I, K, J, H
931, G, H, K, K, H
932, H, I, K, H, H
933, J, H, K, K, I
934, H, I, I, G, G
935, H, I, J, G, G
936, I, I, J, K, K
937, J, I, H, H, G
938, I, I, J, I, G
939, H, H, K, J, G
940, H, I, H, K, G
941, G, I, J, H, J
942, G, I, J, G, I
943, J, I, I, K, G
944, K, I, J, J, K
945, J, I, I, I, J
946, G, I, J, J, G
947, J, I, I, K, K
948, G, I, J, H, J
949, G, I, J, G, I
950, H, I, H, K, G
951, G, I, J, K, J
952, K, I, H, K, I
953, H, I, I, K, G
954, H, H, I, K, H
955, H, H, J, I, G
956, H, I, H, G, K
957, H, H, J, K, K
958, J, I, H, I, K
959, G, I, J, K, G
960, J, H, J, G, H
961, I, I, H, H, H
962, I, I, G, K, K
963, K, I, J, H, G
964, G, I, I, H, G
965, G, I, J, I, K
966, H, I, J, H, K
967, G, I, J, J, H
968, J, I, K, H, K
969, J, I, J, H, K
970, H, H, G, I, I
971, K, I, H, K, H
972, K, H, J, K, G
973, J, I, G, G, H
974, I, I, J, J, G
975, K, I, K, K, I
976, G, H, H, K, I
977, J, H, G, H, K
978, K, I, I, K, I
979, J, H, H, I, G
980, K, I, K, K, I
981, J, I, J, K, H
982, J, H, J, K, G
983, K, I, I, J, K
984, H, I, G, H, G
985, G, I, I, K, K
986, K, I, H, H, J
987, H, I, H, H, J
988, H, H, I, K, J
989, I, I, H, J, G
990, I, I, K, J, K
991, I, H, J, J, H
992, J, I, J, K, G
993, H, I, I, K, H
994, G, I, K, K, I
995, H, I, H, I, G
996, J, I, J, G, G
997, H, H, H, H, J
998, H, I, G, G, G
999, J, I, I, G, I
